XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
2.100,-14.000,0.010,-25.000,nan,-8.890,-9.284,2.631,0.000,0.000,0.000,-7.989,4.703,-1.699,1.044,71.533,-330.261,-33.526,37.763,-156.667,543.310,-1847.608,8.461,260.427,-1172.544,822.054,-4950.456,-77.703,9.572,-116.525,830.735
2.100,-14.000,0.010,-24.000,nan,-9.069,-7.101,2.493,0.000,0.000,0.000,-8.197,4.613,-1.777,0.783,72.376,-340.523,-33.526,37.763,-156.897,551.742,-1950.250,11.095,260.427,-1172.544,822.054,-4950.456,-73.459,9.572,-116.525,834.485
2.100,-14.000,0.010,-23.000,nan,-9.266,-4.705,2.356,0.000,0.000,0.000,-8.421,4.528,-1.860,0.508,73.155,-350.000,-33.526,37.763,-157.384,560.864,-2061.293,13.689,260.427,-1172.544,822.054,-4950.456,-64.702,9.572,-116.525,841.981
2.100,-14.000,0.010,-22.000,nan,-9.478,-2.117,2.222,0.000,0.000,0.000,-8.659,4.449,-1.946,0.223,73.852,-358.485,-33.526,37.763,-158.093,570.664,-2180.593,16.212,260.427,-1172.544,822.054,-4950.456,-50.982,9.572,-116.525,853.148
2.100,-14.000,0.010,-21.000,nan,-9.707,0.661,2.091,0.000,0.000,0.000,-8.913,4.377,-2.036,-0.068,74.543,-366.895,-33.526,37.763,-159.594,581.251,-2309.471,18.668,260.427,-1172.544,822.054,-4950.456,-31.885,9.572,-116.525,868.119
2.100,-14.000,0.010,-20.000,nan,-9.951,3.638,1.963,0.000,0.000,0.000,-9.181,4.312,-2.129,-0.366,75.278,-375.832,-33.526,37.763,-160.721,592.786,-2449.886,21.074,260.427,-1172.544,822.054,-4950.456,-10.436,9.572,-116.525,888.153
2.100,-14.000,0.010,-19.000,nan,-10.212,6.808,1.839,0.000,0.000,0.000,-9.463,4.255,-2.224,-0.667,75.990,-384.500,-33.526,37.763,-162.357,605.374,-2603.120,23.420,260.427,-1172.544,822.054,-4950.456,12.737,9.572,-116.525,909.758
2.100,-14.000,0.010,-18.000,nan,-10.486,10.143,1.720,0.000,0.000,0.000,-9.758,4.206,-2.320,-0.967,76.587,-391.755,-33.526,37.763,-165.418,618.998,-2768.959,25.657,260.427,-1172.544,822.054,-4950.456,34.998,9.572,-116.525,932.196
2.100,-14.000,0.010,-17.000,nan,-10.771,13.613,1.608,0.000,0.000,0.000,-10.062,4.166,-2.415,-1.264,77.055,-397.456,-33.526,37.763,-166.822,633.581,-2946.489,27.724,260.427,-1172.544,822.054,-4950.456,56.203,9.572,-116.525,952.858
2.100,-14.000,0.010,-16.000,nan,-11.064,17.184,1.503,0.000,0.000,0.000,-10.372,4.135,-2.509,-1.553,77.386,-401.476,-33.526,37.763,-170.689,649.036,-3134.622,29.564,260.427,-1172.544,822.054,-4950.456,75.713,9.572,-116.525,971.025
2.100,-14.000,0.010,-15.000,nan,-11.363,20.825,1.405,0.000,0.000,0.000,-10.686,4.112,-2.598,-1.833,77.588,-403.932,-33.526,37.763,-171.757,665.280,-3332.361,31.123,260.427,-1172.544,822.054,-4950.456,93.403,9.572,-116.525,987.040
2.100,-14.000,0.010,-14.000,nan,-11.667,24.525,1.316,0.000,0.000,0.000,-11.002,4.100,-2.684,-2.102,77.762,-406.045,-33.526,37.763,-172.173,682.366,-3540.348,32.383,260.427,-1172.544,822.054,-4950.456,109.809,9.572,-116.525,1000.867
2.100,-14.000,0.010,-13.000,nan,-11.976,28.285,1.235,0.000,0.000,0.000,-11.321,4.096,-2.764,-2.362,77.949,-408.310,-33.526,37.763,-171.642,700.686,-3763.364,33.384,260.427,-1172.544,822.054,-4950.456,123.873,9.572,-116.525,1011.222
2.100,-14.000,0.010,-12.000,nan,-12.290,32.102,1.163,0.000,0.000,0.000,-11.643,4.102,-2.839,-2.612,78.128,-410.479,-33.526,37.763,-171.398,720.742,-4007.504,34.162,260.427,-1172.544,822.054,-4950.456,132.764,9.572,-116.525,1018.209
2.100,-14.000,0.010,-11.000,nan,-12.607,35.967,1.100,0.000,0.000,0.000,-11.966,4.117,-2.907,-2.853,78.280,-412.328,-33.526,37.764,-171.365,743.021,-4278.708,34.720,260.427,-1172.544,822.054,-4950.456,138.170,9.572,-116.525,1019.384
2.100,-14.000,0.010,-10.000,nan,-12.928,39.871,1.045,0.000,0.000,0.000,-12.291,4.141,-2.968,-3.084,78.405,-413.847,-33.526,37.764,-171.476,768.005,-4582.850,35.036,260.427,-1172.544,822.054,-4950.456,139.673,9.572,-116.525,1018.923
2.100,-14.000,0.010,-9.000,nan,-13.251,43.806,0.999,0.000,0.000,0.000,-12.616,4.175,-3.022,-3.306,78.503,-415.036,-33.526,37.764,-172.044,795.439,-4916.804,34.962,260.427,-1172.544,822.054,-4950.456,139.863,9.572,-116.525,1018.279
2.100,-14.000,0.010,-8.000,nan,-13.576,47.763,0.962,0.000,0.000,0.000,-12.940,4.218,-3.068,-3.518,78.574,-415.892,-33.526,37.764,-171.576,823.724,-5261.121,34.217,260.427,-1172.544,822.054,-4950.456,140.403,9.572,-116.525,1018.923
2.100,-14.000,0.010,-7.000,nan,-13.902,51.734,0.935,0.000,0.000,0.000,-13.263,4.270,-3.106,-3.721,78.617,-416.412,-33.526,37.764,-171.445,851.105,-5594.426,32.596,260.427,-1172.544,822.054,-4950.456,139.497,9.572,-116.525,1020.460
2.100,-14.000,0.010,-6.000,nan,-14.229,55.709,0.916,0.000,0.000,0.000,-13.584,4.331,-3.136,-3.915,78.633,-416.593,-33.526,37.764,-171.397,875.809,-5895.158,29.989,260.427,-1172.544,822.054,-4950.456,136.386,9.572,-116.525,1019.848
2.100,-14.000,0.010,-5.000,nan,-14.555,59.680,0.907,0.000,0.000,0.000,-13.903,4.401,-3.159,-4.100,78.620,-416.429,-33.526,37.764,-171.748,896.235,-6143.801,26.398,260.427,-1172.544,822.054,-4950.456,128.829,9.572,-116.525,1016.117
2.100,-14.000,0.010,-4.000,nan,-14.880,63.637,0.907,0.000,0.000,0.000,-14.219,4.480,-3.174,-4.277,78.579,-415.923,-33.526,37.764,-172.303,912.478,-6341.535,22.012,260.427,-1172.544,822.054,-4950.456,116.341,9.572,-116.525,1007.489
2.100,-14.000,0.010,-3.000,nan,-15.204,67.577,0.916,0.000,0.000,0.000,-14.530,4.567,-3.181,-4.445,78.527,-415.290,-33.526,37.764,-172.232,925.605,-6501.332,17.050,260.427,-1172.544,822.054,-4950.456,100.472,9.572,-116.525,994.560
2.100,-14.000,0.010,-2.000,nan,-15.526,71.497,0.935,0.000,0.000,0.000,-14.839,4.663,-3.182,-4.605,78.487,-414.796,-33.526,37.764,-170.883,936.724,-6636.674,11.673,260.427,-1172.544,822.054,-4950.456,82.704,9.572,-116.525,979.243
2.100,-14.000,0.010,-1.000,nan,-15.846,75.392,0.962,0.000,0.000,0.000,-15.142,4.767,-3.177,-4.758,78.419,-413.962,-33.526,37.764,-167.078,946.913,-6760.709,5.978,260.427,-1172.544,822.054,-4950.457,63.126,9.572,-116.525,961.331
2.100,-14.000,0.010,0.000,nan,-16.161,79.228,0.998,0.000,0.000,0.000,-15.439,4.878,-3.165,-4.902,78.216,-411.486,-33.526,37.764,-165.898,956.687,-6879.691,0.000,260.427,-1172.544,822.054,-4950.457,41.444,9.572,-116.525,940.927
2.100,-14.000,0.010,1.000,nan,-16.468,82.968,1.043,0.000,0.000,0.000,-15.727,4.996,-3.148,-5.038,77.864,-407.195,-33.526,37.764,-162.275,965.396,-6985.706,-6.237,260.427,-1172.544,822.054,-4950.457,18.299,9.572,-116.525,917.850
2.100,-14.000,0.010,2.000,nan,-16.765,86.578,1.096,0.000,0.000,0.000,-16.001,5.119,-3.126,-5.164,77.371,-401.190,-33.526,37.764,-160.634,972.335,-7070.176,-12.672,260.427,-1172.544,822.054,-4950.457,-6.367,9.572,-116.525,894.059
2.100,-14.000,0.010,3.000,nan,-17.048,90.026,1.157,0.000,0.000,0.000,-16.262,5.247,-3.099,-5.281,76.746,-393.579,-33.526,37.764,-159.231,977.420,-7132.079,-19.232,260.427,-1172.544,822.054,-4950.457,-30.506,9.572,-116.525,871.298
2.100,-14.000,0.010,4.000,nan,-17.317,93.301,1.225,0.000,0.000,0.000,-16.506,5.378,-3.069,-5.388,76.085,-385.526,-33.526,37.764,-157.582,980.857,-7173.916,-25.854,260.427,-1172.544,822.054,-4950.457,-53.163,9.572,-116.525,852.997
2.100,-14.000,0.010,5.000,nan,-17.572,96.408,1.300,0.000,0.000,0.000,-16.736,5.513,-3.036,-5.486,75.461,-377.918,-33.526,37.765,-156.721,982.784,-7197.369,-32.483,260.427,-1172.544,822.054,-4950.457,-69.873,9.572,-116.525,838.097
